Prcie,Unit,Date,Type,Area,Towards,Floor,Arichi,Elevator,Year,Pro,ProR,Decorate,Community,Address,PlotR,Address2,GreenR,Domain,Park,FinishYear
68,6666,2天前,3室2厅1卫,建面102㎡,南北向,低层(共31层),"普通住宅	",有电梯,2018年,满五唯一,70年商品房,毛坯,当代上品湾MOMA,"高陵 - 
泾渭八路,近长庆东路",容积率：暂无信息,"所在地址：泾渭八路,近长庆东路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
71,7029,2天前,3室2厅1卫,建面101㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2016年,满二唯一,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
70,6802,2天前,3室2厅1卫,建面102㎡,南北向,中层(共31层),"普通住宅	",有电梯,2017年,满两年,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
66,5739,2天前,3室1厅1卫,建面115㎡,南北向,中层(共17层),"普通住宅 | 板楼	",有电梯,2014年,满二唯一,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
68,6666,2天前,3室2厅1卫,建面102㎡,南北向,中层(共31层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
71,7029,2天前,3室2厅1卫,建面101㎡,南北向,低层(共26层),"普通住宅	",有电梯,2017年,满二唯一,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
38,4750,2天前,2室2厅2卫,建面80㎡,南北向,低层(共16层),"普通住宅	",有电梯,2013年,满二唯一,70年商品房,毛坯,水岸明珠,"高陵 - 
泾渭五路",容积率：3.50,所在地址：泾渭五路,绿化率：38%,所在区域：高陵,停车位：暂无信息,竣工时间：2018年
71,7029,2天前,3室2厅1卫,建面101㎡,南北向,中层(共26层),"普通住宅	",有电梯,2017年,唯一住房,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
68,6071,2天前,3室2厅2卫,建面112㎡,南北向,中层(共32层),"普通住宅	",有电梯,2014年,满二唯一,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
73,5840,2天前,3室2厅1卫,建面125㎡,南北向,中层(共14层),"普通住宅 | 板楼	",有电梯,2018年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
70,6930,2天前,3室2厅1卫,建面101㎡,南北向,中层(共26层),"普通住宅 | 板楼	",有电梯,2016年,满二唯一,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
65,6632,1天前,3室2厅1卫,建面98㎡,南北向,低层(共32层),"普通住宅	",有电梯,2018年,不满两年,70年商品房,毛坯,隆基泰和万和郡,"其他 - 
沣泾大道,近经五路",容积率：3.49,"所在地址：沣泾大道,近经五路",绿化率：35%,所在区域：其他,停车位：暂无信息,竣工时间：暂无信息
69,6705,今天,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,当代上品湾MOMA,"高陵 - 
泾渭八路,近长庆东路",容积率：暂无信息,"所在地址：泾渭八路,近长庆东路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
69,6705,今天,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,当代上品湾MOMA,"高陵 - 
泾渭八路,近长庆东路",容积率：暂无信息,"所在地址：泾渭八路,近长庆东路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
72,6997,今天,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
69,6705,今天,3室2厅1卫,建面102㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,当代上品湾MOMA,"高陵 - 
泾渭八路,近长庆东路",容积率：暂无信息,"所在地址：泾渭八路,近长庆东路",绿化率：暂无信息,所在区域：高陵,停车位：暂无信息,竣工时间：暂无信息
82,6949,今天,3室2厅2卫,建面118㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,鹿苑5号公馆,"泾渭新区 - 其他 - 
上林一路,近鹿苑大道",容积率：3.00,"所在地址：上林一路,近鹿苑大道",绿化率：41%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
